To Kill a Mockingbird,Harper Lee,978-0061120084,1960
1984,George Orwell,978-0451524935,1949
Pride and Prejudice,Jane Austen,978-0141439518,1813
The Great Gatsby,F. Scott Fitzgerald,978-0743273565,1925
Harry Potter and the Sorcerer's Stone,J.K. Rowling,978-0590353427,1997
The Catcher in the Rye,J.D. Salinger,978-0316769174,1951
The Hobbit,J.R.R. Tolkien,978-0547928227,1937
Brave New World,Aldous Huxley,978-0060850524,1932
The Lord of the Rings,J.R.R. Tolkien,978-0544003415,1954
Animal Farm,George Orwell,978-0451526342,1945
